session date,observer_id,session id,location id,participant_id,Gender,session start,session end,observer/session/task id,What,start time,end time,elapsed time,total time,total_time(fixed_sec),Who,How,Where,ended by,multi with,num_of_multitask_fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,total overlapping time,is interrupting task?,interrupted by,num_of_interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,is session complete?
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1696,Professional Communication,15:58:01,15:58:30,0:00:29,0:00:29,29,Doctor(s),Talking,ICU,4_109_1698,4_109_1697,1,2,4_109_1697,15:58:08,15:58:30,,,,,,,,,0:00:22,FALSE,,0,,,,0:00:29,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1697,Direct Care,15:58:08,15:58:30,0:00:22,0:00:22,22,Patient,0,ICU,4_109_1698,4_109_1696,1,2,4_109_1696,15:58:08,15:58:30,,,,,,,,,0:00:22,FALSE,,0,,,,0:00:22,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1698,Off-Screen,15:58:30,16:00:59,0:02:29,0:02:29,149,0,0,Off-Screen,4_109_1699,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:29,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1699,Professional Communication,16:00:59,16:01:22,0:00:23,0:00:23,23,Doctor(s),Talking,ICU,4_109_1701,4_109_1700,1,2,4_109_1700,16:01:03,16:01:22,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:23,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1700,Direct Care,16:01:03,16:01:22,0:00:19,0:00:19,19,Patient,0,ICU,4_109_1701,4_109_1699,1,2,4_109_1699,16:01:03,16:01:22,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:19,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1701,Off-Screen,16:01:22,16:06:55,0:05:33,0:05:33,333,0,0,Off-Screen,4_109_1702,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:05:33,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1702,Professional Communication,16:06:55,16:07:50,0:00:55,0:00:55,55,Doctor(s),Talking,ICU,4_109_1704,4_109_1703,1,2,4_109_1703,16:06:58,16:07:50,,,,,,,,,0:00:52,FALSE,,0,,,,0:00:55,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1703,Direct Care,16:06:58,16:07:50,0:00:52,0:00:52,52,Patient,0,ICU,4_109_1704,4_109_1702,1,2,4_109_1702,16:06:58,16:07:50,,,,,,,,,0:00:52,FALSE,,0,,,,0:00:52,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1704,Off-Screen,16:07:50,16:19:24,0:11:34,0:11:34,694,0,0,Off-Screen,session,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:11:34,,,TRUE
8/17/20,4,131,GA 16.20,Alex K ,M,11:21:19,12:02:29,4_131_2216,Off-Screen,11:21:19,12:02:29,0:41:10,0:41:10,2470,0,0,Off-Screen,session,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:41:10,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1530,Off-Screen,1:02:38,1:04:32,0:01:54,0:01:54,114,0,0,Off-Screen,5_90_1531,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:54,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1531,Social,1:04:32,1:04:48,0:00:16,0:00:16,16,Doctor(s),Talking,Community,5_90_1532,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:16,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1532,Off-Screen,1:04:48,1:07:54,0:03:06,0:03:06,186,0,0,Off-Screen,5_90_1533,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:06,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1533,In Transit,1:07:54,1:08:12,0:00:18,0:00:18,18,0,0,ICU,user,5_90_1534,1,2,5_90_1534,1:07:57,1:08:12,,,,,,,,,0:00:15,FALSE,,0,,,,0:00:18,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1534,Professional Communication,1:07:57,1:08:37,0:00:40,0:00:40,40,Doctor(s),Talking,ICU,5_90_1535,5_90_1533,1,2,5_90_1533,1:07:57,1:08:12,,,,,,,,,0:00:15,FALSE,,0,,,,0:00:40,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1535,Off-Screen,1:08:37,1:15:08,0:06:31,0:06:31,391,0,0,Off-Screen,5_90_1536,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:06:31,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1536,Professional Communication,1:15:08,1:15:38,0:00:30,0:00:30,30,Doctor(s),Talking,ICU,5_90_1538,5_90_1537,1,2,5_90_1537,1:15:30,1:15:38,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:30,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1537,In Transit,1:15:30,1:15:38,0:00:08,0:00:08,8,0,0,ICU,5_90_1538,5_90_1536,1,2,5_90_1536,1:15:30,1:15:38,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:08,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1538,Off-Screen,1:15:38,1:23:05,0:07:27,0:07:27,447,0,0,Off-Screen,5_90_1539,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:07:27,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1539,Professional Communication,1:23:05,1:23:22,0:00:17,0:00:17,17,Doctor(s),Talking,Hospital,5_90_1541,5_90_1540,1,2,5_90_1540,1:23:10,1:23:22,,,,,,,,,0:00:12,FALSE,,0,,,,0:00:17,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1540,In Transit,1:23:10,1:23:22,0:00:12,0:00:12,12,0,0,Hospital,5_90_1541,5_90_1539,1,2,5_90_1539,1:23:10,1:23:22,,,,,,,,,0:00:12,FALSE,,0,,,,0:00:12,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1541,Direct Care,1:23:22,1:23:49,0:00:27,0:00:27,27,Patient,Talking,ICU,5_90_1543,5_90_1542,1,2,5_90_1542,1:23:32,1:23:49,,,,,,,,,0:00:17,FALSE,,0,,,,0:00:27,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1542,Professional Communication,1:23:32,1:23:49,0:00:17,0:00:17,17,Doctor(s),Talking,ICU,5_90_1543,5_90_1541,1,2,5_90_1541,1:23:32,1:23:49,,,,,,,,,0:00:17,FALSE,,0,,,,0:00:17,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1543,Off-Screen,1:23:49,1:26:14,0:02:25,0:02:25,145,0,0,Off-Screen,5_90_1544,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:25,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1544,Professional Communication,1:26:14,1:26:43,0:00:29,0:00:29,29,Doctor(s),Talking,ICU,5_90_1546,5_90_1545,1,2,5_90_1545,1:26:20,1:26:43,,,,,,,,,0:00:23,FALSE,,0,,,,0:00:29,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1545,Direct Care,1:26:20,1:26:43,0:00:23,0:00:23,23,Patient,Talking,ICU,5_90_1546,5_90_1544,1,2,5_90_1544,1:26:20,1:26:43,,,,,,,,,0:00:23,FALSE,,0,,,,0:00:23,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1546,Off-Screen,1:26:43,1:32:14,0:05:31,0:05:31,331,0,0,Off-Screen,5_90_1547,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:05:31,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1547,Professional Communication,1:32:14,1:33:05,0:00:51,0:00:51,51,Doctor(s),Talking,ICU,user,5_90_1548,1,2,5_90_1548,1:32:18,1:33:05,,,,,,,,,0:00:47,FALSE,,0,,,,0:00:51,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1548,Direct Care,1:32:18,1:33:05,0:00:47,0:00:47,47,Patient,Talking,ICU,5_90_1549,5_90_1547,1,2,5_90_1547,1:32:18,1:33:05,,,,,,,,,0:00:47,FALSE,,0,,,,0:00:47,,,TRUE
7/21/20,5,90,16Ep4,Alex3,M,1:02:38,1:44:45,5_90_1549,Off-Screen,1:33:05,1:44:45,0:11:40,0:11:40,700,0,0,Off-Screen,user,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:11:40,,,TRUE
8/23/20,5,135,16Ep20,Alex3,M,8:39:38,9:21:09,5_135_1906,Off-Screen,8:39:38,9:21:09,0:41:31,0:41:31,2491,0,0,Off-Screen,user,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:41:31,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1651,Off-Screen,23:09:50,23:10:40,0:00:50,0:00:50,50,0,0,Off-Screen,4_106_1652,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:50,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1652,Nothing Happening,23:10:40,23:10:47,0:00:07,0:00:07,7,0,0,Nothing Happening,4_106_1653,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:07,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1653,Social,23:10:47,23:11:46,0:00:59,0:00:59,59,Doctor(s),Talking,Community,4_106_1654,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:59,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1654,Off-Screen,23:11:46,23:13:46,0:02:00,0:02:00,120,0,0,Off-Screen,4_106_1655,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:00,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1655,Social,23:13:46,23:14:08,0:00:22,0:00:22,22,Doctor(s),Talking,Hospital,4_106_1656,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:22,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1656,In Transit,23:14:08,23:14:12,0:00:04,0:00:04,4,0,0,Hospital,4_106_1657,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1657,Off-Screen,23:14:12,23:19:07,0:04:55,0:04:55,295,0,0,Off-Screen,4_106_1658,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:04:55,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1658,Social,23:19:07,23:19:39,0:00:32,0:00:32,32,Doctor(s),Talking,Hospital,user,4_106_1659,1,2,4_106_1659,23:19:14,23:19:39,,,,,,,,,0:00:25,FALSE,,0,,,,0:00:32,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1659,In Transit,23:19:14,23:19:41,0:00:27,0:00:27,27,0,0,Hospital,4_106_1660,4_106_1658,1,2,4_106_1658,23:19:14,23:19:39,,,,,,,,,0:00:25,FALSE,,0,,,,0:00:27,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1660,Direct Care,23:19:41,23:20:03,0:00:22,0:00:22,22,Patient,Talking,Hospital,4_106_1661,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:22,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1661,Off-Screen,23:20:03,23:23:01,0:02:58,0:02:58,178,0,0,Off-Screen,4_106_1662,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:58,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1662,Direct Care,23:23:01,23:24:04,0:01:03,0:01:03,63,Patient,Talking,ICU,4_106_1664,4_106_1663,1,2,4_106_1663,23:23:39,23:24:04,,,,,,,,,0:00:25,FALSE,,0,,,,0:01:03,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1663,Professional Communication,23:23:39,23:24:04,0:00:25,0:00:25,25,Doctor(s),Talking,ICU,4_106_1664,4_106_1662,1,2,4_106_1662,23:23:39,23:24:04,,,,,,,,,0:00:25,FALSE,,0,,,,0:00:25,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1664,Off-Screen,23:24:04,23:27:04,0:03:00,0:03:00,180,0,0,Off-Screen,4_106_1665,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:00,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1665,In Transit,23:27:04,23:27:25,0:00:21,0:00:21,21,0,0,Hospital,4_106_1667,4_106_1666,1,2,4_106_1666,23:27:08,23:27:25,,,,,,,,,0:00:17,FALSE,,0,,,,0:00:21,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1666,Social,23:27:08,23:27:25,0:00:17,0:00:17,17,Doctor(s),Talking,Hospital,4_106_1667,4_106_1665,1,2,4_106_1665,23:27:08,23:27:25,,,,,,,,,0:00:17,FALSE,,0,,,,0:00:17,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1667,Professional Communication,23:27:25,23:27:40,0:00:15,0:00:15,15,Doctor(s),Talking,Hospital,4_106_1668,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:15,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1668,Off-Screen,23:27:40,23:34:56,0:07:16,0:07:16,436,0,0,Off-Screen,4_106_1669,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:07:16,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1669,In Transit,23:34:56,23:35:01,0:00:05,0:00:05,5,0,0,ICU,4_106_1670,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:05,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1670,Off-Screen,23:35:01,23:35:16,0:00:15,0:00:15,15,0,0,Off-Screen,4_106_1671,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:15,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1671,Direct Care,23:35:16,23:35:20,0:00:04,0:00:04,4,Patient,Talking,ICU,4_106_1672,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1672,Off-Screen,23:35:20,23:35:22,0:00:02,0:00:02,2,0,0,Off-Screen,4_106_1673,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:02,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1673,Direct Care,23:35:22,23:35:27,0:00:05,0:00:05,5,Patient,Talking,ICU,4_106_1674,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:05,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1674,Off-Screen,23:35:27,23:35:30,0:00:03,0:00:03,3,0,0,Off-Screen,4_106_1675,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:03,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1675,Nothing Happening,23:35:30,23:35:34,0:00:04,0:00:04,4,0,0,Nothing Happening,4_106_1676,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1676,Off-Screen,23:35:34,23:37:20,0:01:46,0:01:46,106,0,0,Off-Screen,4_106_1677,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:46,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1677,Direct Care,23:37:20,23:39:41,0:02:21,0:02:21,141,Patient,Talking,ICU,4_106_1678,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:21,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1678,Off-Screen,23:39:41,23:43:36,0:03:55,0:03:55,235,0,0,Off-Screen,4_106_1679,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:55,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1679,Professional Communication,23:43:36,23:43:52,0:00:16,0:00:16,16,Doctor(s),Talking,Hospital,4_106_1680,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:16,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1680,Social,23:43:52,23:44:29,0:00:37,0:00:37,37,Doctor(s),Talking,Hospital,4_106_1681,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:37,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1681,Off-Screen,23:44:29,23:50:25,0:05:56,0:05:56,356,0,0,Off-Screen,4_106_1682,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:05:56,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1682,Professional Communication,23:50:25,23:50:54,0:00:29,0:00:29,29,Doctor(s),Talking,Community,4_106_1683,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:29,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1683,Social,23:50:54,23:51:31,0:00:37,0:00:37,37,Doctor(s),Talking,Community,4_106_1684,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:37,,,TRUE
8/3/20,4,106,GA 16.3,Amelia S,F,23:09:50,23:52:13,4_106_1684,Off-Screen,23:51:31,23:52:13,0:00:42,0:00:42,42,0,0,Off-Screen,session,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:42,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1818,Off-Screen,15:56:16,15:56:58,0:00:42,0:00:42,42,0,0,Off-Screen,4_114_1819,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:42,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1819,Social,15:56:58,15:57:21,0:00:23,0:00:23,23,Doctor(s),Talking,Hospital,4_114_1821,4_114_1820,1,2,4_114_1820,15:57:02,15:57:21,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:23,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1820,In Transit,15:57:02,15:57:21,0:00:19,0:00:19,19,0,0,Hospital,4_114_1821,4_114_1819,1,2,4_114_1819,15:57:02,15:57:21,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:19,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1821,Off-Screen,15:57:21,15:57:32,0:00:11,0:00:11,11,0,0,Off-Screen,4_114_1822,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:11,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1822,Nothing Happening,15:57:32,15:57:35,0:00:03,0:00:03,3,0,0,Nothing Happening,4_114_1823,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:03,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1823,Off-Screen,15:57:35,15:57:38,0:00:03,0:00:03,3,0,0,Off-Screen,4_114_1824,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:03,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1824,Nothing Happening,15:57:38,15:57:41,0:00:03,0:00:03,3,0,0,Nothing Happening,4_114_1825,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:03,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1825,Off-Screen,15:57:41,15:59:59,0:02:18,0:02:18,138,0,0,Off-Screen,4_114_1826,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:18,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1826,Social,15:59:59,16:00:13,0:00:14,0:00:14,14,Doctor(s),Talking,Hospital,4_114_1827,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:14,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1827,Off-Screen,16:00:13,16:00:40,0:00:27,0:00:27,27,0,0,Off-Screen,4_114_1828,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:27,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1828,Social,16:00:40,16:01:01,0:00:21,0:00:21,21,Doctor(s),Talking,Hospital,4_114_1830,4_114_1829,1,2,4_114_1829,16:00:45,16:01:01,,,,,,,,,0:00:16,FALSE,,0,,,,0:00:21,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1829,In Transit,16:00:45,16:01:01,0:00:16,0:00:16,16,0,0,Hospital,4_114_1830,4_114_1828,1,2,4_114_1828,16:00:45,16:01:01,,,,,,,,,0:00:16,FALSE,,0,,,,0:00:16,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1830,Social,16:01:01,16:01:18,0:00:17,0:00:17,17,Doctor(s),Talking,Hospital,4_114_1831,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:17,,,TRUE
8/7/20,4,114,GA 16.9,Amelia S ,F,15:56:16,16:39:31,4_114_1831,Social,16:01:18,16:01:31,0:00:13,0:00:13,13,Doctor(s),Talking,Hospital,4_114_1833,4_114_1832,1,2,4_114_1832,16:01:22,16:01:31,,,,,,,,,0:00:09,FALSE,,0,,,,0:00:13,,,TRUE
